male,date,motif_count,song_count,song_motif_count,song_motif_mean,song_motif_sd,song_motif_cv,song_length_sum,song_length_mean,song_length_sd,song_length_cv,song_start_mean,song_start_sd,song_start_cv,motifs_per_sec_mean,motifs_per_sec_sd,motifs_per_sec_cv,post_song_motif_occurances,post_song_motif_freq,file,start_song,end_song,misc_motif_count,post_song_motif,notes,song_start,song_end,song_length,date_file,round,trial,trial_round,counter,temp,temp_target,humidity_mean,vpd,chamber,mass,bill_length,bill_depth,bill_width,bill_date
T231,2022-02-21,211,62,205,3.306451612903226,1.5213099368142622,0.46010349308528903,167,2.693548387096774,1.2878843965712847,0.47813672208035723,2658.032258064516,359.70238006030354,0.13532656684995462,1.3043010752688171,0.35665588416201105,0.2734459787886812,6,0.02926829268292683,NA,NA,NA,6,NA,,NA,NA,NA,NA,1,5,5,RAS,36.51075,35,12.65054,55.30592144111422,2,NA,NA,NA,NA,NA
T231,2022-05-05,17,3,15,5,2,0.4,14,4.666666666666667,1.1547005383792515,0.24743582965269673,2910.6666666666665,541.2765774844994,0.1859630935013168,1.0555555555555556,0.2678791878053599,0.2537802831840252,1,0.06666666666666667,NA,NA,NA,2,NA,,NA,NA,NA,NA,2,6,1,KIM,39.03005,40,23.80055,55.56124671940209,2,NA,NA,NA,NA,NA
T231,2022-05-07,249,83,242,2.9156626506024095,0.9397044070410657,0.3222953131587126,196,2.36144578313253,0.9700177676649329,0.41077283018463995,2801.5421686746986,470.8496290750557,0.1680680142315318,1.3253012048192772,0.39423660791485476,0.29746944051757224,4,0.01652892561983471,NA,NA,NA,7,NA,,NA,NA,NA,NA,2,7,2,KIM,40.52869,40,21.61066,62.09839005896374,2,NA,NA,NA,NA,NA
T231,2022-05-09,33,10,30,3,1.0540925533894598,0.35136418446315326,24,2.4,1.0749676997731399,0.4479032082388083,2660.7,611.7446907547843,0.2299187021290579,1.375,0.42537202308648764,0.30936147133562736,3,0.1,NA,NA,NA,3,NA,,NA,NA,NA,NA,2,8,3,KIM,39.40984,40,22.51503,57.702458189413655,2,NA,NA,NA,NA,NA
T231,2022-06-24,58,18,54,3,1.0846522890932808,0.3615507630310936,44,2.4444444444444446,0.8555852638929972,0.3500121534107715,7890,563.379404079681,0.07140423372366045,1.2518518518518518,0.2810396716168604,0.2244991459661311,1,0.018518518518518517,NA,NA,NA,4,NA,,NA,NA,NA,NA,3,9,1,KIM,34.5242826,35,25.61865342,42.065453214785215,1,18.5,9.3,8,7.1,07/11/22
T231,2022-06-26,45,11,39,3.5454545454545454,1.6348477827391983,0.4611109130802867,34,3.090909090909091,1.4459976109624424,0.46782275648784905,7790.454545454545,420.4301044493278,0.05396733938902627,1.1954545454545453,0.32438753479021465,0.2713507895583545,0,0,NA,NA,NA,6,NA,,NA,NA,NA,NA,3,10,2,KIM,43.0728477,44,19.23289183,73.51857291501179,1,NA,NA,NA,NA,
T231,2022-06-28,130,42,127,3.0238095238095237,1.5537224418307627,0.5138294689519057,107,2.5476190476190474,1.8239916151976319,0.7159593255915938,7642.214285714285,318.0570999291338,0.04161844827142352,1.363718820861678,0.42781835032898874,0.31371448702208854,2,0.015748031496062992,NA,NA,NA,3,NA,,NA,NA,NA,NA,3,11,3,KIM,38.9359823,40,21.07671082,57.247155885024654,1,NA,NA,NA,NA,
T231,2022-06-30,178,49,177,3.6122448979591835,1.3966675596249967,0.3866480814781064,147,3,1.3844373104863459,0.46147910349544863,7761.285714285715,312.42605791877645,0.0402544203911619,1.293731778425656,0.3299916446143668,0.2550695979779782,0,0,NA,NA,NA,1,NA,,NA,NA,NA,NA,3,12,4,KIM,41.5932671,42,19.00827815,68.01911624136831,1,NA,NA,NA,NA,
T231,2022-07-02,203,55,196,3.5636363636363635,1.5958700908286196,0.447820688752929,164,2.981818181818182,1.4206272622267313,0.47642987452725744,7970.963636363636,396.93902711347397,0.04979812293994582,1.2778787878787878,0.3650082380469309,0.2856360411560047,6,0.030612244897959183,NA,NA,NA,7,NA,,NA,NA,NA,NA,3,13,5,KIM,31.0380795,27,34.38631347,30.326753340398806,1,NA,NA,NA,NA,
T234,2022-02-03,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,1,RAS,43.04301,42,15.26882,77.00231158398648,2,NA,NA,NA,NA,NA
T234,2022-02-05,30,11,28,2.5454545454545454,0.6875516509523286,0.2701095771598434,36,3.272727272727273,1.2720777563426766,0.3886904255491512,3040.818181818182,695.174052764028,0.22861414632438362,0.8181818181818181,0.1482217830472194,0.1811599570577126,1,0.03571428571428571,NA,NA,NA,2,NA,,NA,NA,NA,NA,1,2,2,RAS,44.53226,44,9.360215,89.26017713195539,2,NA,NA,NA,NA,NA
T234,2022-02-07,34,7,26,3.7142857142857144,1.2535663410560174,0.3374986302843124,36,5.142857142857143,1.5735915849388864,0.30597614151589453,2129.1428571428573,347.23019673382316,0.1630844992711193,0.7163265306122449,0.07136807717979532,0.09963064905441511,5,0.19230769230769232,NA,NA,NA,8,NA,,NA,NA,NA,NA,1,3,3,RAS,27.15591,27,17.00538,30.472208634132077,2,NA,NA,NA,NA,NA
T234,2022-02-09,78,21,47,2.238095238095238,0.6248809410409238,0.2792021225927532,59,2.8095238095238093,1.030487633067356,0.3667837338036352,2603.3809523809523,482.0297165310948,0.18515527513952534,0.834920634920635,0.16682532131150785,0.19980979548716718,5,0.10638297872340426,NA,NA,NA,31,NA,,NA,NA,NA,NA,1,4,4,RAS,41.09677,40,10.77688,72.92198527739245,2,NA,NA,NA,NA,NA
T234,2022-02-11,52,14,43,3.0714285714285716,1.328057326976612,0.4323907576202923,54,3.857142857142857,2.0326997151247235,0.5269962224397431,2422.3571428571427,554.088386054463,0.22873934493446413,0.8472789115646259,0.14619380848016705,0.1725450810645087,7,0.16279069767441862,NA,NA,NA,9,NA,,NA,NA,NA,NA,1,5,5,RAS,36.1129,35,12.69892,54.04527993195101,2,NA,NA,NA,NA,NA
